[DEBUG][2017-09-03 14:06:25,678][org.mybatis.spring.SqlSessionUtils][SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@11d02af9] was not registered for synchronization because synchronization is not active]
[DEBUG][2017-09-03 14:06:25,681][org.mybatis.spring.transaction.SpringManagedTransaction][JDBC Connection [com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl@c4e5ad7] will not be managed by Spring]
[DEBUG][2017-09-03 14:06:25,681][com.xuyh.netserver.modules.sys.dao.UserDao.getByLoginName][==>  Preparing: SELECT a.id, a.company_id AS "company.id", a.office_id AS "office.id", a.login_name, a.password, a.no, a.name, a.email, a.phone, a.mobile, a.user_type, a.login_ip, a.login_date, a.remarks, a.login_flag, a.photo, a.create_by AS "createBy.id", a.create_date, a.update_by AS "updateBy.id", a.update_date, a.del_flag, c.name AS "company.name", c.parent_id AS "company.parent.id", c.parent_ids AS "company.parentIds", ca.id AS "company.area.id", ca.name AS "company.area.name", ca.parent_id AS "company.area.parent.id", ca.parent_ids AS "company.area.parentIds", o.name AS "office.name", o.parent_id AS "office.parent.id", o.parent_ids AS "office.parentIds", oa.id AS "office.area.id", oa.name AS "office.area.name", oa.parent_id AS "office.area.parent.id", oa.parent_ids AS "office.area.parentIds", cu.id AS "company.primaryPerson.id", cu.name AS "company.primaryPerson.name", cu2.id AS "company.deputyPerson.id", cu2.name AS "company.deputyPerson.name", ou.id AS "office.primaryPerson.id", ou.name AS "office.primaryPerson.name", ou2.id AS "office.deputyPerson.id", ou2.name AS "office.deputyPerson.name" FROM sys_user a LEFT JOIN sys_office c ON c.id = a.company_id LEFT JOIN sys_area ca ON ca.id = c.area_id LEFT JOIN sys_office o ON o.id = a.office_id LEFT JOIN sys_area oa ON oa.id = o.area_id LEFT JOIN sys_user cu ON cu.id = c.primary_person LEFT JOIN sys_user cu2 ON cu2.id = c.deputy_person LEFT JOIN sys_user ou ON ou.id = o.primary_person LEFT JOIN sys_user ou2 ON ou2.id = o.deputy_person WHERE a.login_name = ? ]
[DEBUG][2017-09-03 14:06:25,694][com.xuyh.netserver.modules.sys.dao.UserDao.getByLoginName][==> Parameters: thinkgem(String)]
[DEBUG][2017-09-03 14:06:25,765][com.xuyh.netserver.modules.sys.dao.UserDao.getByLoginName][<==      Total: 1]
[DEBUG][2017-09-03 14:06:25,779][org.mybatis.spring.SqlSessionUtils][Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@11d02af9]]
[DEBUG][2017-09-03 14:06:38,196][org.mybatis.spring.SqlSessionUtils][Creating a new SqlSession]
[DEBUG][2017-09-03 14:06:38,197][org.mybatis.spring.SqlSessionUtils][SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@205254dc] was not registered for synchronization because synchronization is not active]
[DEBUG][2017-09-03 14:06:38,197][org.mybatis.spring.transaction.SpringManagedTransaction][JDBC Connection [com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl@c4e5ad7] will not be managed by Spring]
[DEBUG][2017-09-03 14:06:38,198][com.xuyh.netserver.modules.sys.dao.UserDao.findAll][==>  Preparing: SELECT a.id, a.company_id AS "company.id", a.office_id AS "office.id", a.login_name, a.password, a.no, a.name, a.email, a.phone, a.mobile, a.user_type, a.login_ip, a.login_date, a.remarks, a.login_flag, a.photo, a.create_by AS "createBy.id", a.create_date, a.update_by AS "updateBy.id", a.update_date, a.del_flag, c.name AS "company.name", c.parent_id AS "company.parent.id", c.parent_ids AS "company.parentIds", ca.id AS "company.area.id", ca.name AS "company.area.name", ca.parent_id AS "company.area.parent.id", ca.parent_ids AS "company.area.parentIds", o.name AS "office.name", o.parent_id AS "office.parent.id", o.parent_ids AS "office.parentIds", oa.id AS "office.area.id", oa.name AS "office.area.name", oa.parent_id AS "office.area.parent.id", oa.parent_ids AS "office.area.parentIds", cu.id AS "company.primaryPerson.id", cu.name AS "company.primaryPerson.name", cu2.id AS "company.deputyPerson.id", cu2.name AS "company.deputyPerson.name", ou.id AS "office.primaryPerson.id", ou.name AS "office.primaryPerson.name", ou2.id AS "office.deputyPerson.id", ou2.name AS "office.deputyPerson.name" FROM sys_user a ]
[DEBUG][2017-09-03 14:06:38,201][com.xuyh.netserver.modules.sys.dao.UserDao.findAll][==> Parameters: ]
[DEBUG][2017-09-03 14:06:38,204][org.mybatis.spring.SqlSessionUtils][Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@205254dc]]
[DEBUG][2017-09-03 14:25:50,196][org.mybatis.spring.SqlSessionUtils][Creating a new SqlSession]
[DEBUG][2017-09-03 14:25:50,197][org.mybatis.spring.SqlSessionUtils][SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@689d3872] was not registered for synchronization because synchronization is not active]
[DEBUG][2017-09-03 14:25:50,201][org.mybatis.spring.transaction.SpringManagedTransaction][JDBC Connection [com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl@c4e5ad7] will not be managed by Spring]
[DEBUG][2017-09-03 14:25:50,203][com.xuyh.netserver.modules.sys.dao.UserDao.getByLoginName][==>  Preparing: SELECT a.id, a.company_id AS "company.id", a.office_id AS "office.id", a.login_name, a.password, a.no, a.name, a.email, a.phone, a.mobile, a.user_type, a.login_ip, a.login_date, a.remarks, a.login_flag, a.photo, a.create_by AS "createBy.id", a.create_date, a.update_by AS "updateBy.id", a.update_date, a.del_flag, c.name AS "company.name", c.parent_id AS "company.parent.id", c.parent_ids AS "company.parentIds", ca.id AS "company.area.id", ca.name AS "company.area.name", ca.parent_id AS "company.area.parent.id", ca.parent_ids AS "company.area.parentIds", o.name AS "office.name", o.parent_id AS "office.parent.id", o.parent_ids AS "office.parentIds", oa.id AS "office.area.id", oa.name AS "office.area.name", oa.parent_id AS "office.area.parent.id", oa.parent_ids AS "office.area.parentIds", cu.id AS "company.primaryPerson.id", cu.name AS "company.primaryPerson.name", cu2.id AS "company.deputyPerson.id", cu2.name AS "company.deputyPerson.name", ou.id AS "office.primaryPerson.id", ou.name AS "office.primaryPerson.name", ou2.id AS "office.deputyPerson.id", ou2.name AS "office.deputyPerson.name" FROM sys_user a LEFT JOIN sys_office c ON c.id = a.company_id LEFT JOIN sys_area ca ON ca.id = c.area_id LEFT JOIN sys_office o ON o.id = a.office_id LEFT JOIN sys_area oa ON oa.id = o.area_id LEFT JOIN sys_user cu ON cu.id = c.primary_person LEFT JOIN sys_user cu2 ON cu2.id = c.deputy_person LEFT JOIN sys_user ou ON ou.id = o.primary_person LEFT JOIN sys_user ou2 ON ou2.id = o.deputy_person WHERE a.login_name = ? ]
[DEBUG][2017-09-03 14:25:50,210][com.xuyh.netserver.modules.sys.dao.UserDao.getByLoginName][==> Parameters: thinkgem(String)]
[DEBUG][2017-09-03 14:25:50,288][com.xuyh.netserver.modules.sys.dao.UserDao.getByLoginName][<==      Total: 1]
[DEBUG][2017-09-03 14:25:50,293][org.mybatis.spring.SqlSessionUtils][Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@689d3872]]
[DEBUG][2017-09-03 14:27:16,162][org.mybatis.spring.SqlSessionUtils][Creating a new SqlSession]
[DEBUG][2017-09-03 14:27:16,163][org.mybatis.spring.SqlSessionUtils][SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@2d0ef0e7] was not registered for synchronization because synchronization is not active]
[DEBUG][2017-09-03 14:27:16,165][org.mybatis.spring.transaction.SpringManagedTransaction][JDBC Connection [com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl@c4e5ad7] will not be managed by Spring]
[DEBUG][2017-09-03 14:27:16,166][com.xuyh.netserver.modules.sys.dao.UserDao.findAll][==>  Preparing: SELECT a.id, a.company_id AS "company.id", a.office_id AS "office.id", a.login_name, a.password, a.no, a.name, a.email, a.phone, a.mobile, a.user_type, a.login_ip, a.login_date, a.remarks, a.login_flag, a.photo, a.create_by AS "createBy.id", a.create_date, a.update_by AS "updateBy.id", a.update_date, a.del_flag, c.name AS "company.name", c.parent_id AS "company.parent.id", c.parent_ids AS "company.parentIds", ca.id AS "company.area.id", ca.name AS "company.area.name", ca.parent_id AS "company.area.parent.id", ca.parent_ids AS "company.area.parentIds", o.name AS "office.name", o.parent_id AS "office.parent.id", o.parent_ids AS "office.parentIds", oa.id AS "office.area.id", oa.name AS "office.area.name", oa.parent_id AS "office.area.parent.id", oa.parent_ids AS "office.area.parentIds", cu.id AS "company.primaryPerson.id", cu.name AS "company.primaryPerson.name", cu2.id AS "company.deputyPerson.id", cu2.name AS "company.deputyPerson.name", ou.id AS "office.primaryPerson.id", ou.name AS "office.primaryPerson.name", ou2.id AS "office.deputyPerson.id", ou2.name AS "office.deputyPerson.name" FROM sys_user a ]
[DEBUG][2017-09-03 14:27:16,170][com.xuyh.netserver.modules.sys.dao.UserDao.findAll][==> Parameters: ]
[DEBUG][2017-09-03 14:27:16,178][org.mybatis.spring.SqlSessionUtils][Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@2d0ef0e7]]
[DEBUG][2017-09-03 14:49:54,943][org.mybatis.spring.SqlSessionUtils][Creating a new SqlSession]
[DEBUG][2017-09-03 14:49:54,944][org.mybatis.spring.SqlSessionUtils][SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@428594a4] was not registered for synchronization because synchronization is not active]
[DEBUG][2017-09-03 14:49:54,946][org.mybatis.spring.transaction.SpringManagedTransaction][JDBC Connection [com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl@c4e5ad7] will not be managed by Spring]
[DEBUG][2017-09-03 14:49:54,947][com.xuyh.netserver.modules.sys.dao.UserDao.findAll][==>  Preparing: SELECT a.id, a.company_id AS "company.id", a.office_id AS "office.id", a.login_name, a.password, a.no, a.name, a.email, a.phone, a.mobile, a.user_type, a.login_ip, a.login_date, a.remarks, a.login_flag, a.photo, a.create_by AS "createBy.id", a.create_date, a.update_by AS "updateBy.id", a.update_date, a.del_flag, c.name AS "company.name", c.parent_id AS "company.parent.id", c.parent_ids AS "company.parentIds", ca.id AS "company.area.id", ca.name AS "company.area.name", ca.parent_id AS "company.area.parent.id", ca.parent_ids AS "company.area.parentIds", o.name AS "office.name", o.parent_id AS "office.parent.id", o.parent_ids AS "office.parentIds", oa.id AS "office.area.id", oa.name AS "office.area.name", oa.parent_id AS "office.area.parent.id", oa.parent_ids AS "office.area.parentIds", cu.id AS "company.primaryPerson.id", cu.name AS "company.primaryPerson.name", cu2.id AS "company.deputyPerson.id", cu2.name AS "company.deputyPerson.name", ou.id AS "office.primaryPerson.id", ou.name AS "office.primaryPerson.name", ou2.id AS "office.deputyPerson.id", ou2.name AS "office.deputyPerson.name" FROM sys_user a ]
[DEBUG][2017-09-03 14:49:54,951][com.xuyh.netserver.modules.sys.dao.UserDao.findAll][==> Parameters: ]
[DEBUG][2017-09-03 14:49:54,956][org.mybatis.spring.SqlSessionUtils][Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@428594a4]]
[DEBUG][2017-09-03 15:02:53,423][org.mybatis.spring.mapper.ClassPathMapperScanner][Ignored because not a concrete top-level class: file [F:\Idea-workspace\netServer\target\classes\com\xuyh\netserver\common\config\Global.class]]
[DEBUG][2017-09-03 15:02:53,428][org.mybatis.spring.mapper.ClassPathMapperScanner][Ignored because not a concrete top-level class: file [F:\Idea-workspace\netServer\target\classes\com\xuyh\netserver\common\scheduled\ScheduledTaskManager.class]]
[DEBUG][2017-09-03 15:02:53,430][org.mybatis.spring.mapper.ClassPathMapperScanner][Ignored because not a concrete top-level class: file [F:\Idea-workspace\netServer\target\classes\com\xuyh\netserver\common\servlet\ValidateCodeServlet.class]]
[DEBUG][2017-09-03 15:02:53,431][org.mybatis.spring.mapper.ClassPathMapperScanner][Ignored because not a concrete top-level class: file [F:\Idea-workspace\netServer\target\classes\com\xuyh\netserver\common\utils\DBTools.class]]
